I_Q,I_D,V_Q,V_D,is_startup
0.0146912,0.0569283,-0.0119815,-0.015576,1
-0.0422371,0.0918199,0.00149769,-0.0293547,1
0.0146912,-0.0422371,-0.00958521,-0.00269584,1
0.0146912,-0.0422371,-0.0110829,0.000898614,1
-0.0422371,-0.00918198,0.0023963,-0.00419353,1
-0.0422371,0.0238732,0.00599076,-0.0119815,1
-0.0716195,0.0404007,0.0170737,-0.0179723,1
0.0146912,-0.0422371,0.00119815,-0.000299538,1
0.0146912,0.0238732,-0.000299538,-0.0137787,1
0.0146912,-0.0752923,-0.00149769,0.00958521,1
-0.0128548,0.00734559,0.00449307,-0.00539168,1
0.0146912,-0.00918198,-0.00149769,-0.00149769,1
-0.0128548,-0.0257096,0.00419353,0.00329492,1
-0.0128548,-0.0257096,0.00539168,0.00569122,1
-0.0128548,-0.0257096,0.00658983,0.00778799,1
0.0146912,0.0238732,0.000299538,-0.00269584,1
0.0146912,0.0569283,-0.000898614,-0.0131797,1
0.0440735,-0.0587647,-0.00808752,0.011682,1
0.0440735,-0.0257096,-0.0113824,0.00808752,1
-0.0128548,0.00734559,0.0,0.00179723,1
0.0734559,-0.0422371,-0.0206681,0.0140783,1
-0.0422371,-0.00918198,0.00329492,0.00928568,1
0.0146912,-0.0422371,-0.00748845,0.0185714,1
0.0146912,-0.00918198,-0.00808752,0.0134792,1
-0.0422371,0.0238732,0.00569122,0.00569122,1
-0.0128548,0.00734559,0.00209677,0.00778799,1
0.0146912,-0.00918198,-0.00329492,0.011682,1
0.0146912,-0.00918198,-0.00419353,0.0125806,1
0.0440735,-0.0587647,-0.0122811,0.0257603,1
-0.0128548,0.00734559,-0.00119815,0.0137787,1
0.0440735,-0.0257096,-0.0140783,0.0215667,1
-0.0128548,0.0752923,-0.00269584,-0.00179723,1
-0.0128548,0.0404007,-0.00119815,0.000898614,1
0.0440735,-0.0257096,-0.0140783,0.0140783,1
-0.0128548,0.00734559,-0.00299538,0.00778799,1
-0.0422371,0.0238732,0.0062903,0.00299538,1
0.0146912,-0.00918198,-0.00449307,0.00958521,1
0.0440735,-0.0587647,-0.0125806,0.0227649,1
-0.0422371,0.0918199,0.0062903,-0.0107834,1
0.0440735,-0.0257096,-0.011682,0.011682,1
-0.0128548,0.0404007,-0.000599076,-0.00299538,1
-0.0128548,0.00734559,0.000898614,0.00179723,1
0.0146912,-0.00918198,-0.00449307,0.00569122,1
-0.0422371,-0.00918198,0.00928568,0.0062903,1
0.0440735,0.00734559,-0.0086866,0.00269584,1
0.0440735,-0.0257096,-0.0119815,0.0104838,1
0.0146912,-0.00918198,-0.00778799,0.0086866,1
0.0440735,-0.0257096,-0.0140783,0.0134792,1
-0.0422371,0.0238732,0.00509214,0.00329492,1
-0.0128548,0.00734559,0.0023963,0.00509214,1
0.0440735,-0.0257096,-0.00988475,0.0131797,1
0.0146912,0.0569283,-0.00539168,-0.00569122,1
0.0146912,-0.00918198,-0.00539168,0.0062903,1
0.0146912,-0.00918198,-0.00569122,0.00718891,1
0.0734559,0.0238732,-0.0206681,-0.000599076,1
-0.0128548,0.00734559,-0.00389399,0.00149769,1
-0.0128548,0.0752923,-0.00149769,-0.016175,1
-0.0128548,0.00734559,0.000599076,-0.00569122,1
0.0146912,0.0238732,-0.00449307,-0.0101843,1
-0.0422371,0.0238732,0.0101843,-0.0122811,1
0.0146912,-0.00918198,0.000299538,-0.00599076,1
0.0146912,-0.00918198,0.0,-0.00509214,1
-0.0128548,0.0404007,0.00688937,-0.0167741,1
0.0146912,0.0238732,0.00209677,-0.016175,1
0.0146912,-0.00918198,0.00179723,-0.00988475,1
0.0146912,-0.00918198,0.00179723,-0.00898614,1
-0.0128548,0.00734559,0.0086866,-0.0125806,1
0.0440735,0.0404007,-0.00359446,-0.0215667,1
-0.0422371,-0.00918198,0.0158755,-0.0122811,1
0.0440735,-0.0587647,-0.00149769,0.00119815,1
0.0146912,-0.00918198,0.00329492,-0.00658983,1
0.0146912,-0.00918198,0.00299538,-0.00569122,1
0.0440735,-0.0257096,-0.00449307,-0.000898614,1
0.0146912,-0.0422371,0.000299538,0.00569122,1
0.0440735,-0.0936562,-0.00718891,0.0224653,1
0.0146912,-0.00918198,-0.00269584,0.00898614,1
0.0146912,-0.00918198,-0.00269584,0.00958521,1
0.0440735,-0.0936562,-0.00898614,0.0320506,1
-0.0716195,0.0404007,0.0185714,0.00569122,1
-0.0128548,0.00734559,0.0110829,0.0104838,1
0.0734559,-0.0422371,-0.00838706,0.0227649,1
0.0146912,-0.00918198,0.00209677,0.0179723,1
-0.0128548,0.00734559,0.00928568,0.0143778,1
0.0146912,-0.00918198,0.00509214,0.0179723,1
-0.0128548,0.00734559,0.0122811,0.0143778,1
0.0734559,-0.00918198,-0.00718891,0.0182718,1
0.0146912,-0.0422371,0.00329492,0.0275575,1
0.0146912,0.0238732,0.00359446,0.0140783,1
-0.0128548,-0.0257096,0.0107834,0.0245621,1
0.0440735,0.0404007,-0.000898614,0.0101843,1
0.0146912,0.0238732,0.00449307,0.0107834,1
0.0146912,0.0918199,0.00479261,-0.0086866,1
-0.0128548,0.00734559,0.0119815,0.00509214,1
-0.0422371,0.0238732,0.0221658,0.000299538,1
0.0440735,-0.0257096,0.00539168,0.0107834,1
0.0440735,-0.0257096,0.00329492,0.0131797,1
0.0146912,-0.00918198,0.0086866,0.0110829,1
0.0440735,0.0752923,0.00119815,-0.00958521,1
-0.0422371,0.0238732,0.0212672,-0.00299538,1
0.0734559,-0.0422371,-0.00329492,0.0119815,1
-0.0422371,0.0238732,0.0215667,-0.00149769,1
-0.0128548,0.0404007,0.0191704,-0.00748845,1
0.0146912,-0.00918198,0.0149769,0.00179723,1
0.0440735,-0.0257096,0.00778799,0.00658983,1
0.0440735,-0.0257096,0.00539168,0.0086866,1
0.0146912,-0.00918198,0.0107834,0.00688937,1
-0.0128548,0.00734559,0.0179723,0.00329492,1
0.0146912,-0.0422371,0.015576,0.015576,1
0.0146912,0.0918199,0.0167741,-0.0152764,1
-0.0422371,0.0238732,0.0320506,-0.00569122,1
0.0146912,-0.0422371,0.023364,0.00928568,1
0.0734559,-0.0422371,0.00898614,0.0128801,1
0.0146912,-0.00918198,0.0203686,0.00778799,1
0.0146912,-0.00918198,0.0212672,0.0086866,1
0.0440735,-0.0257096,0.0146774,0.0134792,1
0.0440735,0.00734559,0.0128801,0.00718891,1
0.0440735,-0.0257096,0.0113824,0.0152764,1
0.0440735,-0.0257096,0.00988475,0.0173732,1
0.0146912,-0.00918198,0.0158755,0.0152764,1
-0.0422371,0.0569283,0.0311519,-0.000898614,1
0.0440735,0.00734559,0.0149769,0.00688937,1
0.0440735,0.00734559,0.0134792,0.0062903,1
0.0146912,0.0238732,0.01947,0.00149769,1
-0.0128548,0.0752923,0.027258,-0.0134792,1
0.102838,-0.126711,0.00119815,0.031751,1
-0.0422371,0.0918199,0.0314515,-0.0134792,1
0.0440735,-0.0257096,0.0152764,0.0086866,1
0.0146912,-0.00918198,0.0212672,0.00688937,1
0.0146912,0.0569283,0.0221658,-0.00928568,1
0.0734559,-0.0752923,0.00808752,0.01947,1
0.0440735,0.00734559,0.011682,0.00479261,1
0.0440735,-0.0257096,0.00988475,0.0125806,1
0.0146912,-0.00918198,0.016175,0.0107834,1
0.0146912,0.0569283,0.0170737,-0.00539168,1
-0.0128548,-0.0257096,0.0248616,0.0107834,1
0.102838,-0.0587647,-0.00119815,0.0215667,1
0.0146912,0.0238732,0.0146774,0.00539168,1
0.0146912,0.0918199,0.0170737,-0.0140783,1
0.0146912,-0.00918198,0.0182718,0.00389399,1
-0.0128548,0.0752923,0.0269584,-0.0167741,1
0.0440735,-0.0257096,0.0158755,0.0023963,1
0.0440735,0.00734559,0.0146774,-0.00389399,1
0.0440735,-0.0587647,0.0137787,0.0125806,1
0.0734559,-0.0422371,0.00509214,0.0134792,1
0.0146912,0.0569283,0.0164746,-0.00838706,1
-0.0422371,0.0569283,0.0323501,-0.0131797,1
0.0146912,-0.0422371,0.0242626,0.00748845,1
-0.0128548,0.0404007,0.0329492,-0.0101843,1
0.0440735,-0.0257096,0.0218663,0.00299538,1
0.0440735,-0.0257096,0.0206681,0.00539168,1
0.0146912,-0.00918198,0.027258,0.00329492,1
0.0440735,0.00734559,0.0209677,-0.000299538,1
0.0440735,0.0404007,0.020069,-0.00898614,1
0.0146912,-0.0752923,0.0263593,0.0167741,1
0.0440735,-0.0257096,0.0203686,0.0104838,1
0.0440735,-0.0257096,0.0191704,0.0128801,1
0.0734559,0.0238732,0.0104838,0.0023963,1
0.0734559,-0.0422371,0.00688937,0.0173732,1
0.0734559,0.0238732,0.00329492,0.00389399,1
0.0146912,0.0238732,0.0149769,0.00179723,1
-0.0128548,0.00734559,0.023364,0.00389399,1
-0.0128548,0.00734559,0.027258,0.00329492,1
0.0440735,-0.0587647,0.016175,0.0197695,1
0.0734559,0.0569283,0.00748845,-0.00479261,1
0.0146912,-0.00918198,0.0191704,0.00718891,1
0.0146912,-0.0422371,0.0206681,0.0164746,1
-0.0128548,0.0404007,0.0290552,-0.000898614,1
0.0440735,-0.0257096,0.0197695,0.0122811,1
0.0440735,-0.0257096,0.01947,0.0143778,1
0.0440735,-0.0257096,0.0188709,0.0167741,1
0.102838,-0.0587647,0.00359446,0.027258,1
0.0146912,-0.00918198,0.0206681,0.0197695,1
0.0146912,0.0238732,0.0227649,0.0119815,1
0.102838,-0.0257096,0.00209677,0.0227649,1
0.0146912,0.0238732,0.0191704,0.0122811,1
0.0146912,-0.00918198,0.0212672,0.0185714,1
0.102838,-0.0257096,0.000898614,0.0236635,1
0.0734559,-0.0422371,0.00299538,0.0302533,1
0.0146912,0.0238732,0.0149769,0.0167741,1
0.0440735,0.00734559,0.00928568,0.0188709,1
0.0440735,0.00734559,0.0086866,0.0182718,1
0.0146912,-0.00918198,0.0158755,0.0218663,1
-0.0128548,0.00734559,0.0251612,0.0182718,1
-0.0422371,0.0918199,0.0368432,-0.00389399,1
0.0734559,-0.00918198,0.0143778,0.0143778,1
0.0146912,0.0569283,0.0263593,-0.00179723,1
0.0440735,0.00734559,0.0206681,0.00599076,1
0.0734559,-0.0422371,0.0128801,0.0182718,1
-0.0128548,-0.0257096,0.0320506,0.0173732,1
0.0440735,0.0404007,0.0215667,0.00269584,1
0.0440735,-0.0257096,0.0212672,0.016175,1
0.0146912,-0.00918198,0.0281566,0.0140783,1
0.0440735,0.0404007,0.0227649,0.0023963,1
0.0440735,0.0752923,0.0221658,-0.0101843,1
-0.0128548,0.00734559,0.0365436,0.000599076,1
0.0734559,-0.0422371,0.0188709,0.0128801,1
0.0440735,-0.0257096,0.0230644,0.0122811,1
0.0146912,-0.0422371,0.031751,0.0188709,1
0.0440735,-0.0257096,0.0269584,0.0179723,1
0.0146912,0.0238732,0.0341473,0.00748845,1
0.0734559,-0.0422371,0.0218663,0.0224653,1
-0.0128548,0.0752923,0.0413362,-0.00389399,1
0.0146912,0.0569283,0.0389399,-0.00569122,1
0.0440735,-0.0257096,0.0341473,0.0104838,1
0.0440735,-0.0936562,0.0341473,0.0302533,1
0.0440735,0.0752923,0.0341473,-0.00509214,1
0.0734559,-0.00918198,0.0266589,0.0101843,1
0.0734559,-0.0422371,0.0242626,0.01947,1
0.0734559,0.0569283,0.0215667,-0.0023963,1
0.0734559,-0.00918198,0.0191704,0.00958521,1
0.0440735,0.00734559,0.0242626,0.00599076,1
0.0146912,-0.00918198,0.0314515,0.00988475,1
0.0734559,-0.00918198,0.0191704,0.0104838,1
0.0146912,0.0238732,0.0314515,0.00299538,1
0.0146912,-0.00918198,0.0341473,0.00928568,1
0.102838,-0.0587647,0.0140783,0.0227649,1
0.0146912,0.0569283,0.0314515,-0.00179723,1
0.0440735,-0.0257096,0.0266589,0.0143778,1
0.0734559,0.0569283,0.0191704,-0.00449307,1
-0.0128548,0.00734559,0.0386404,0.00329492,1
0.102838,-0.0257096,0.0137787,0.0110829,1
-0.0422371,0.0238732,0.0461288,0.000599076,1
0.0734559,0.0238732,0.023963,-0.00149769,1
0.0734559,-0.0422371,0.0212672,0.0134792,1
0.0146912,0.0569283,0.0338478,-0.00838706,1
0.102838,-0.126711,0.0137787,0.0338478,1
0.0146912,-0.0422371,0.0311519,0.0230644,1
0.0146912,0.124875,0.035645,-0.0158755,1
0.0734559,-0.00918198,0.0236635,0.00748845,1
0.0146912,-0.00918198,0.0368432,0.00838706,1
0.0440735,0.0752923,0.0326496,-0.0122811,1
0.0734559,-0.0422371,0.0257603,0.0113824,1
0.0146912,0.0238732,0.0386404,-0.00209677,1
0.0734559,0.0238732,0.0269584,-0.00419353,1
0.0440735,-0.0257096,0.0326496,0.0062903,1
0.0734559,-0.00918198,0.0257603,0.00449307,1
0.0734559,-0.0752923,0.0236635,0.0218663,1
