I_Q,I_D,V_Q,V_D,is_startup
0.0734559,-0.0752923,-0.0296543,0.01947,1
0.0146912,-0.00918198,-0.0212672,0.00928568,1
-0.0422371,0.0238732,-0.00778799,0.00149769,1
0.0146912,0.0238732,-0.0188709,-0.000599076,1
0.0440735,-0.0587647,-0.0275575,0.0185714,1
-0.0128548,0.00734559,-0.0167741,0.00658983,1
-0.0128548,0.00734559,-0.015576,0.00599076,1
-0.0716195,0.143239,0.000299538,-0.0293547,1
0.0440735,-0.0936562,-0.0230644,0.0188709,1
0.0146912,0.0238732,-0.0191704,-0.00299538,1
-0.0422371,0.0569283,-0.00569122,-0.0137787,1
-0.0128548,-0.0257096,-0.00988475,0.00269584,1
-0.0128548,0.0404007,-0.0086866,-0.0119815,1
-0.0128548,-0.0257096,-0.00748845,0.00149769,1
-0.0128548,0.00734559,-0.00658983,-0.00479261,1
0.0146912,-0.00918198,-0.0125806,-0.00119815,1
0.0146912,-0.0422371,-0.0122811,0.00808752,1
-0.0128548,0.00734559,-0.00599076,-0.00119815,1
0.0146912,-0.00918198,-0.011682,0.00269584,1
0.0146912,-0.00918198,-0.0122811,0.00329492,1
0.0440735,0.00734559,-0.0203686,-0.000299538,1
-0.0128548,0.0404007,-0.00928568,-0.00898614,1
0.0734559,-0.0752923,-0.0299538,0.0167741,1
-0.0128548,0.00734559,-0.0134792,0.00209677,1
-0.0716195,0.0404007,0.00299538,-0.00658983,1
-0.0128548,-0.0257096,-0.00539168,0.00658983,1
0.0734559,-0.00918198,-0.0257603,0.00449307,1
-0.0422371,0.0918199,-0.00209677,-0.0206681,1
0.0146912,-0.00918198,-0.0128801,-0.0023963,1
0.0440735,-0.0257096,-0.0206681,0.0023963,1
0.0146912,-0.0422371,-0.0167741,0.00898614,1
0.0146912,-0.0422371,-0.0176727,0.0125806,1
-0.0422371,0.0238732,-0.00359446,-0.000599076,1
-0.0422371,0.0569283,0.000299538,-0.0113824,1
0.0440735,-0.0257096,-0.0176727,0.00509214,1
-0.0128548,-0.0257096,-0.0062903,0.00718891,1
0.0146912,0.0238732,-0.0119815,-0.00329492,1
0.0146912,-0.0422371,-0.0128801,0.011682,1
-0.0128548,0.00734559,-0.0062903,0.0023963,1
0.0440735,-0.0587647,-0.0191704,0.0188709,1
0.0146912,-0.00918198,-0.0152764,0.0110829,1
0.0146912,0.0238732,-0.0158755,0.00359446,1
-0.0422371,0.0238732,-0.00209677,0.00149769,1
0.0146912,0.0569283,-0.0128801,-0.00898614,1
0.0734559,-0.0422371,-0.0284561,0.011682,1
0.0146912,0.0238732,-0.0191704,-0.00179723,1
-0.0128548,0.00734559,-0.0110829,0.000299538,1
0.0440735,-0.0257096,-0.023364,0.00808752,1
0.0146912,0.0238732,-0.0188709,-0.0023963,1
0.0440735,-0.0257096,-0.0260598,0.00838706,1
0.0440735,-0.0587647,-0.0287556,0.0188709,1
-0.0128548,0.0404007,-0.0170737,-0.00119815,1
-0.0422371,0.0238732,-0.00718891,-0.000599076,1
-0.0128548,0.0752923,-0.0101843,-0.015576,1
0.0440735,-0.0257096,-0.0224653,0.00359446,1
-0.0422371,0.0238732,-0.00299538,-0.00688937,1
0.0734559,-0.0422371,-0.027857,0.00808752,1
-0.0422371,0.0569283,-0.00359446,-0.0137787,1
0.0440735,0.00734559,-0.0209677,-0.00599076,1
-0.0716195,0.0404007,0.00599076,-0.0149769,1
0.0440735,-0.0257096,-0.0164746,-0.00149769,1
0.0734559,-0.0422371,-0.0266589,0.00509214,1
-0.0128548,0.00734559,-0.00958521,-0.00419353,1
0.0440735,-0.0257096,-0.0218663,0.00359446,1
-0.0128548,0.00734559,-0.0101843,-0.00269584,1
-0.0128548,0.0404007,-0.00808752,-0.011682,1
-0.0128548,0.00734559,-0.00569122,-0.00688937,1
-0.0128548,0.0404007,-0.00359446,-0.015576,1
-0.0422371,0.0238732,0.0062903,-0.0149769,1
0.0440735,-0.0257096,-0.0110829,-0.00449307,1
0.0146912,0.0238732,-0.00658983,-0.0146774,1
0.0440735,-0.0257096,-0.0140783,-0.00419353,1
0.0146912,0.0238732,-0.00928568,-0.0146774,1
0.0146912,0.0569283,-0.00958521,-0.0251612,1
-0.0128548,0.00734559,-0.0023963,-0.0173732,1
-0.0128548,-0.0257096,-0.000299538,-0.00958521,1
0.0440735,-0.0936562,-0.0110829,0.0101843,1
0.0146912,-0.00918198,-0.00569122,-0.00359446,1
-0.0128548,0.00734559,0.00119815,-0.00718891,1
-0.0128548,0.00734559,0.00389399,-0.00778799,1
0.0440735,-0.0587647,-0.00778799,0.0086866,1
0.0440735,-0.0257096,-0.00988475,0.00509214,1
-0.0128548,0.0404007,0.0023963,-0.00928568,1
0.0146912,0.0569283,-0.00179723,-0.0173732,1
0.0440735,-0.0257096,-0.00928568,-0.000898614,1
0.0734559,-0.0422371,-0.0188709,0.00569122,1
0.0146912,-0.00918198,-0.00838706,0.000599076,1
0.0440735,-0.0257096,-0.0158755,0.00569122,1
0.0734559,-0.110184,-0.0254607,0.0293547,1
-0.0128548,0.108347,-0.00808752,-0.0170737,1
0.0146912,-0.00918198,-0.0122811,0.00389399,1
0.0146912,0.0238732,-0.0119815,-0.00389399,1
-0.0128548,0.00734559,-0.00479261,-0.00179723,1
0.0440735,-0.0587647,-0.0167741,0.0146774,1
-0.0128548,0.00734559,-0.00449307,0.00269584,1
-0.0128548,0.0752923,-0.00179723,-0.0152764,1
0.0146912,-0.00918198,-0.00599076,0.0,1
0.0734559,-0.00918198,-0.0209677,0.000599076,1
-0.0128548,0.00734559,-0.00359446,-0.00299538,1
0.0440735,-0.0257096,-0.0152764,0.00509214,1
0.0440735,-0.0587647,-0.0173732,0.015576,1
0.0146912,0.0238732,-0.0119815,-0.000299538,1
0.0440735,-0.0587647,-0.01947,0.0185714,1
0.0146912,0.0918199,-0.0140783,-0.0149769,1
0.0146912,-0.00918198,-0.0134792,0.00329492,1
0.0146912,-0.0422371,-0.0131797,0.0125806,1
0.0146912,-0.0422371,-0.0110829,0.016175,1
0.102838,-0.0257096,-0.0326496,0.0152764,1
-0.0716195,0.0404007,0.00509214,0.000898614,1
-0.0128548,0.00734559,-0.00179723,0.00569122,1
0.0440735,-0.0257096,-0.0128801,0.0134792,1
-0.0128548,0.0752923,0.0,-0.0101843,1
0.0146912,-0.00918198,-0.00359446,0.00509214,1
0.0440735,-0.0936562,-0.0101843,0.0275575,1
-0.0716195,0.0752923,0.0179723,-0.00778799,1
0.0734559,-0.0752923,-0.0110829,0.0242626,1
-0.0128548,0.0404007,0.00688937,0.00119815,1
0.0146912,-0.0422371,0.00329492,0.0188709,1
0.0440735,-0.0257096,-0.00329492,0.0179723,1
-0.0128548,0.0404007,0.00958521,0.00359446,1
-0.0128548,0.0404007,0.0128801,0.000299538,1
0.0440735,-0.0257096,0.00179723,0.0134792,1
0.0440735,-0.0587647,0.000299538,0.0242626,1
0.0440735,-0.0257096,-0.00149769,0.0206681,1
-0.0128548,0.0752923,0.0113824,-0.00299538,1
0.0146912,0.0238732,0.00778799,0.00389399,1
0.0440735,-0.0587647,0.00119815,0.0227649,1
0.0146912,-0.00918198,0.00718891,0.0152764,1
0.0440735,0.0404007,0.000599076,0.00329492,1
0.0146912,-0.00918198,0.00658983,0.0125806,1
0.0146912,0.0918199,0.00748845,-0.0125806,1
0.0440735,-0.0257096,0.000898614,0.00958521,1
0.0146912,-0.00918198,0.00688937,0.00778799,1
0.0146912,0.0569283,0.00778799,-0.00838706,1
-0.0128548,0.00734559,0.015576,-0.000599076,1
0.0440735,0.00734559,0.00449307,-0.00119815,1
0.0734559,-0.0422371,-0.00329492,0.0110829,1
0.0146912,-0.00918198,0.00838706,0.00599076,1
0.0440735,-0.0257096,0.00209677,0.0107834,1
-0.0128548,0.0404007,0.0158755,-0.00359446,1
0.0734559,-0.0422371,-0.00269584,0.0140783,1
-0.0128548,0.00734559,0.0158755,0.00479261,1
0.0146912,0.0238732,0.0125806,0.0,1
0.0734559,-0.0422371,-0.00119815,0.0149769,1
0.0146912,-0.00918198,0.0104838,0.0101843,1
0.0146912,0.0569283,0.011682,-0.00599076,1
0.0734559,0.0238732,-0.00209677,-0.0023963,1
0.0440735,0.0404007,0.00209677,-0.0086866,1
0.0146912,0.0238732,0.00838706,-0.00808752,1
0.0440735,-0.0257096,0.0023963,0.00269584,1
-0.0128548,0.00734559,0.0158755,-0.00359446,1
0.0734559,-0.0422371,-0.00269584,0.0086866,1
-0.0128548,0.00734559,0.016175,-0.000599076,1
0.0440735,0.00734559,0.00509214,-0.00119815,1
0.0146912,-0.00918198,0.011682,0.0023963,1
0.0440735,0.0404007,0.00539168,-0.00928568,1
0.0440735,-0.0257096,0.00419353,0.00389399,1
-0.0128548,0.0404007,0.0179723,-0.0107834,1
0.0440735,0.0404007,0.00688937,-0.0140783,1
0.0440735,0.00734559,0.00599076,-0.00928568,1
